ScenarioIndex,Actual_LostMargin,Predicted_LostMargin
0,49720.0,31357.845452977563
1,37606.0,23801.62537875312
2,13305.999999999998,9748.503967419183
3,0.0,3977.364411789285
4,13948.0,10225.918075654768
5,7482.0,6055.950554144961
6,28191.0,19581.752586556817
7,14463.999999999998,12161.927379092764
8,81882.0,21723.031023894553
9,11302.0,1949.5673614957298
10,25836.0,20151.331033686
11,7444.000000000001,3441.3638823110273
12,11279.0,13429.047815107251
13,9899.0,21064.51663210403
14,1307.0,11814.992777701866
15,9390.0,15915.176901277087
16,4053.0,4790.969154402517
17,0.0,12495.273305926605
18,0.0,6785.240888311785
19,4358.0,-838.3936214069822
20,28729.0,23517.689122950465
21,23748.0,17527.329810347463
22,1502.9999999999998,1424.8262691698046
23,26316.999999999996,23890.920463598562
24,2209.0,5789.79303080426
25,2440.0,1042.2305089468343
26,31561.0,11516.306770305266
27,18500.0,15766.57141038361
28,4499.0,1214.4229400856268
29,13962.0,11143.94235106062
30,44139.0,40174.12108633993
