ScenarioIndex,Actual_SI,Predicted_SI
0,196558.0,226344.84
1,31760.0,87740.555
2,1428425.0,510248.72
3,83306.0,302774.0
4,551705.0,404096.53
5,2135318.0,727818.5
6,3195.0002,102467.71
7,6876.0,23398.715
8,152957.0,898416.06
9,634300.0,386897.75
10,52090.0,76820.664
11,297049.0,807726.4
12,610053.0,185345.45
13,89105.0,146785.33
14,21077.0,385805.16
15,108473.01,181765.05
16,1150344.0,464801.25
17,61790.0,323530.78
18,59438.0,340759.47
19,234960.0,248787.06
20,10300.0,40721.996
21,215601.0,358631.16
22,726395.0,315053.84
23,10387.0,43684.46
24,57787.0,163256.14
25,1313.0,28599.21
26,1023284.0,821393.44
27,96091.0,201875.0
28,1740970.0,577892.2
29,31389.0,68180.66
30,130104.0,166232.52
